bank_id,bank_name,loan_type,roi_min,roi_max,benchmark,processing_fee,tenure_max_years,source,source_updated,notes
federal,Federal Bank,personal_loan,12.0,22.5,Lender benchmark / risk-based pricing,Up to 2%,6,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
hsbc,HSBC Bank,personal_loan,9.75,,Lender benchmark / risk-based pricing,Up to 2%,5,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
iob,Indian Overseas Bank,personal_loan,10.25,,Lender benchmark / risk-based pricing,Up to 0.75%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
pnb,Punjab National Bank,personal_loan,10.25,16.8,Lender benchmark / risk-based pricing,Up to 1%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
psb,Punjab & Sind Bank,personal_loan,9.6,13.85,Lender benchmark / risk-based pricing,0.50%–1%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
uco,UCO Bank,personal_loan,9.95,13.2,Lender benchmark / risk-based pricing,Up to 1%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
union,Union Bank of India,personal_loan,8.75,12.55,Lender benchmark / risk-based pricing,Up to 1%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
bajaj,Bajaj Finance,personal_loan,10.0,30.0,Lender benchmark / risk-based pricing,Up to 3.93%,8,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
aditya_birla,Aditya Birla Finance,personal_loan,10.99,,Lender benchmark / risk-based pricing,Up to 4%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
hdb,HDB Financial Services,personal_loan,10.0,35.0,Lender benchmark / risk-based pricing,Up to 5.90%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
iifl,IIFL Finance,personal_loan,12.0,28.0,Lender benchmark / risk-based pricing,2%–9%,5,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
lt_finance,L&T Finance,personal_loan,11.0,,Lender benchmark / risk-based pricing,Up to 3%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
mahindra,Mahindra Finance,personal_loan,8.0,25.0,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
piramal,Piramal Finance,personal_loan,12.14,,Lender benchmark / risk-based pricing,Up to 5%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
poonawalla,Poonawalla Fincorp,personal_loan,9.99,,Lender benchmark / risk-based pricing,Up to 4%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
shriram,Shriram Finance,personal_loan,11.0,,Lender benchmark / risk-based pricing,Up to 5%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
tata,Tata Capital,personal_loan,10.99,,Lender benchmark / risk-based pricing,Up to 3.5%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
axis,Axis Bank,business_loan,10.99,,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
bajaj,Bajaj Finserv,business_loan,14.0,23.5,Lender benchmark / risk-based pricing,As per lender schedule,8,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
flexiloans,FlexiLoans,business_loan,12.0,,Lender benchmark / risk-based pricing,As per lender schedule,5,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
hdfc,HDFC Bank,business_loan,10.75,22.5,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
idfc,IDFC FIRST Bank,business_loan,13.0,,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
indifi,Indifi Capital,business_loan,18.0,,Lender benchmark / risk-based pricing,As per lender schedule,5,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
kotak,Kotak Mahindra Bank,business_loan,9.5,30.5,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
lendingkart,Lendingkart,business_loan,13.5,,Lender benchmark / risk-based pricing,As per lender schedule,5,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
muthoot_fincorp,Muthoot Fincorp,business_loan,18.0,28.0,Lender benchmark / risk-based pricing,As per lender schedule,5,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
shriram,Shriram Finance,business_loan,10.0,,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
tata,Tata Capital,business_loan,12.0,,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
yes,YES Bank,business_loan,17.25,,Lender benchmark / risk-based pricing,As per lender schedule,7,Paisabazaar business-loan comparison,Aug 2026,"Unsecured/business pricing varies significantly by turnover, vintage, banking and bureau."
canara,Canara Bank,car_loan,7.45,,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
bom,Bank of Maharashtra,car_loan,7.45,,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
uco,UCO Bank,car_loan,7.45,,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
union,Union Bank of India,car_loan,7.5,,Lender benchmark / risk-based pricing,"Approx. ₹1,000 + GST; verify",7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
iob,Indian Overseas Bank,car_loan,7.55,,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
pnb,Punjab National Bank,car_loan,7.6,,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
bob,Bank of Baroda,car_loan,7.6,11.3,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
hdfc,HDFC Bank,car_loan,8.15,,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
sbi,State Bank of India (SBI),car_loan,8.7,9.85,Lender benchmark / risk-based pricing,As per lender schedule,7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
indian,Indian Bank,car_loan,8.75,12.9,Lender benchmark / risk-based pricing,"Approx. 0.23%, cap may apply",7,BankBazaar car-loan comparison,Aug–Sep 2026,New-car reference; used-car rates are generally higher.
hdfc,HDFC Bank,loan_against_property,9.0,11.0,Lender benchmark / risk-based pricing,Up to 1%; lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
axis,Axis Bank,loan_against_property,9.15,10.25,Lender benchmark / risk-based pricing,Approx. 1% / min charge; verify,20,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
idfc,IDFC FIRST Bank,loan_against_property,9.25,,Lender benchmark / risk-based pricing,Up to 3%,25,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
hsbc,HSBC Bank,loan_against_property,9.05,,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
pnb_hf,PNB Housing Finance,loan_against_property,8.75,10.85,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
bob,Bank of Baroda,loan_against_property,8.9,11.5,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
federal,Federal Bank,loan_against_property,9.5,,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
poonawalla,Poonawalla Fincorp,loan_against_property,9.75,,Lender benchmark / risk-based pricing,As per lender schedule,20,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
tata,Tata Capital,loan_against_property,9.0,17.0,Lender benchmark / risk-based pricing,Up to 3%,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
boi,Bank of India,loan_against_property,8.85,,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
lt_hf,L&T Housing Finance,loan_against_property,7.5,13.0,Lender benchmark / risk-based pricing,As per lender schedule,20,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
union,Union Bank of India,loan_against_property,9.05,11.85,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
lic_hf,LIC Housing Finance,loan_against_property,9.7,11.55,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
bom,Bank of Maharashtra,loan_against_property,9.7,10.7,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
icici,ICICI Bank,loan_against_property,10.6,12.25,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
bajaj_hf,Bajaj Housing Finance,loan_against_property,8.5,12.0,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
uco,UCO Bank,loan_against_property,9.25,11.25,Lender benchmark / risk-based pricing,As per lender schedule,15,BankBazaar mortgage/LAP comparison,Jul–Sep 2026,"Secured-loan pricing depends heavily on property, LTV and borrower profile."
sbi,State Bank of India (SBI),education_loan,6.9,9.9,Lender benchmark / risk-based pricing,Nil up to certain scheme/amount; verify,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
pnb,Punjab National Bank,education_loan,6.85,11.6,Lender benchmark / risk-based pricing,Nil / scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
idfc,IDFC FIRST Bank,education_loan,9.5,,Lender benchmark / risk-based pricing,Up to 1.5%,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
bob,Bank of Baroda,education_loan,6.85,11.25,Lender benchmark / risk-based pricing,Nil / scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
canara,Canara Bank,education_loan,7.25,10.1,Lender benchmark / risk-based pricing,Nil/minimal in select schemes,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
bom,Bank of Maharashtra,education_loan,6.85,10.05,Lender benchmark / risk-based pricing,Nil / scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
hdfc,HDFC Bank,education_loan,10.5,,Lender benchmark / risk-based pricing,Up to 1% above certain amount,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
iob,Indian Overseas Bank,education_loan,7.5,11.75,Lender benchmark / risk-based pricing,Contact lender,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
icici,ICICI Bank,education_loan,8.5,13.0,Lender benchmark / risk-based pricing,Up to 2% + GST,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
karnataka,Karnataka Bank,education_loan,9.81,,Lender benchmark / risk-based pricing,Domestic/abroad fee varies,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
tmb,Tamilnad Mercantile Bank,education_loan,11.3,14.15,Lender benchmark / risk-based pricing,Domestic/abroad fee varies,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
kvb,Karur Vysya Bank,education_loan,10.75,13.25,Lender benchmark / risk-based pricing,Scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
axis,Axis Bank,education_loan,6.9,13.5,Lender benchmark / risk-based pricing,Up to 2% + GST,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
idbi,IDBI Bank,education_loan,6.95,10.4,Lender benchmark / risk-based pricing,Nil / scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
boi,Bank of India,education_loan,7.0,9.8,Lender benchmark / risk-based pricing,Nil / scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
uco,UCO Bank,education_loan,6.9,10.5,Lender benchmark / risk-based pricing,Scheme dependent,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
federal,Federal Bank,education_loan,10.5,13.5,Lender benchmark / risk-based pricing,Contact lender,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
kotak,Kotak Mahindra Bank,education_loan,,16.0,Lender benchmark / risk-based pricing,Nil / lender schedule,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
bajaj,Bajaj Finance,education_loan,11.0,16.0,Lender benchmark / risk-based pricing,Up to 3.54%,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
tata,Tata Capital,education_loan,11.3,15.25,Lender benchmark / risk-based pricing,Up to 2% + taxes,15,BankBazaar education-loan comparison,02 Sep 2026,"Course, institution, collateral/co-applicant and country affect pricing."
sbi,State Bank of India (SBI),home_loan_bt_topup,7.25,9.05,Lender benchmark / risk-based pricing,Verify takeover/top-up fee,30,Reference derived from current home-loan range; verify lender takeover pricing,Sep 2026,Balance-transfer/top-up pricing can differ from fresh-loan pricing.
sbi,State Bank of India (SBI),balance_transfer_consolidation,10.0,15.0,Lender benchmark / risk-based pricing,Verify balance-transfer/consolidation fee,7,Reference derived from current personal-loan range; verify lender,Sep 2026,Exact transfer/consolidation pricing depends on existing obligations and lender policy.
sbi,State Bank of India (SBI),project_funds,,,Lender benchmark / risk-based pricing,Contact lender / project appraisal basis,,Lender-specific project finance; no universal retail rate,Sep 2026,"Project funding is appraisal-led; final pricing depends on project viability, security, promoter contribution and lender policy."
hdfc,HDFC Bank,home_loan_bt_topup,7.2,,Lender benchmark / risk-based pricing,Verify takeover/top-up fee,30,Reference derived from current home-loan range; verify lender takeover pricing,Sep 2026,Balance-transfer/top-up pricing can differ from fresh-loan pricing.
hdfc,HDFC Bank,balance_transfer_consolidation,9.99,24.0,Lender benchmark / risk-based pricing,Verify balance-transfer/consolidation fee,7,Reference derived from current personal-loan range; verify lender,Sep 2026,Exact transfer/consolidation pricing depends on existing obligations and lender policy.
hdfc,HDFC Bank,project_funds,,,Lender benchmark / risk-based pricing,Contact lender / project appraisal basis,,Lender-specific project finance; no universal retail rate,Sep 2026,"Project funding is appraisal-led; final pricing depends on project viability, security, promoter contribution and lender policy."
icici,ICICI Bank,home_loan_bt_topup,7.5,,Lender benchmark / risk-based pricing,Verify takeover/top-up fee,30,Reference derived from current home-loan range; verify lender takeover pricing,Sep 2026,Balance-transfer/top-up pricing can differ from fresh-loan pricing.
icici,ICICI Bank,balance_transfer_consolidation,9.99,16.5,Lender benchmark / risk-based pricing,Verify balance-transfer/consolidation fee,7,Reference derived from current personal-loan range; verify lender,Sep 2026,Exact transfer/consolidation pricing depends on existing obligations and lender policy.
icici,ICICI Bank,project_funds,,,Lender benchmark / risk-based pricing,Contact lender / project appraisal basis,,Lender-specific project finance; no universal retail rate,Sep 2026,"Project funding is appraisal-led; final pricing depends on project viability, security, promoter contribution and lender policy."
axis,Axis Bank,home_loan_bt_topup,8.0,9.1,Lender benchmark / risk-based pricing,Verify takeover/top-up fee,30,Reference derived from current home-loan range; verify lender takeover pricing,Sep 2026,Balance-transfer/top-up pricing can differ from fresh-loan pricing.
axis,Axis Bank,balance_transfer_consolidation,9.99,21.55,Lender benchmark / risk-based pricing,Verify balance-transfer/consolidation fee,7,Reference derived from current personal-loan range; verify lender,Sep 2026,Exact transfer/consolidation pricing depends on existing obligations and lender policy.
axis,Axis Bank,project_funds,,,Lender benchmark / risk-based pricing,Contact lender / project appraisal basis,,Lender-specific project finance; no universal retail rate,Sep 2026,"Project funding is appraisal-led; final pricing depends on project viability, security, promoter contribution and lender policy."
bob,Bank of Baroda,home_loan_bt_topup,7.2,8.95,Lender benchmark / risk-based pricing,Verify takeover/top-up fee,30,Reference derived from current home-loan range; verify lender takeover pricing,Sep 2026,Balance-transfer/top-up pricing can differ from fresh-loan pricing.
bob,Bank of Baroda,balance_transfer_consolidation,10.15,18.0,Lender benchmark / risk-based pricing,Verify balance-transfer/consolidation fee,7,Reference derived from current personal-loan range; verify lender,Sep 2026,Exact transfer/consolidation pricing depends on existing obligations and lender policy.
bob,Bank of Baroda,project_funds,,,Lender benchmark / risk-based pricing,Contact lender / project appraisal basis,,Lender-specific project finance; no universal retail rate,Sep 2026,"Project funding is appraisal-led; final pricing depends on project viability, security, promoter contribution and lender policy."
